,name,label
11431,tran quang van anh,1
58367,than,0
57657,co so tan,0
45099,thao,0
13212,le nguyen thuy tho,1
39739,dl nguyen cat tien,0
52038,dien thoai nguyen bao huynh,0
10194,nguyen huu thai,1
28239,cong ty tnhh mot thanh vien thuong mai kiet nang,0
7028,vu minh son,1
53080,thuan,0
7439,le duy son,1
13296,nguyen ngoc tam,1
58585,co so thu muacao phong,0
9083,nguyen van thuc,1
33400,dntn dich vu thuy hong,0
9911,luong van tam,1
5491,do minh tam,1
34258,cty tnhh dau tu va phat trien thong tin c.i.d.c,0
38896,dt dao cao ky,0
59654,quay thuoc bich lien,0
7598,ho nguyen xuan thanh,1
43822,cncao nghiep,0
29830,dntn duc tuyen,0
55140,nha khoa pham chan hung,0
5125,luu nguyen quoc thanh,1
53823,hoi dong huong le an khe,0
13933,ho ngoc son,1
19736,hoang dinh viet,1
25907,cty tnhh thuong mai ky nguyen,0
36769,cb luong buu diep,0
50586,cua hang tran bich quyen,0
15303,le thanh thuy,1
1084,nguyen ngoc tai,1
44890,dgdba thien,0
16134,chau viet quan,1
40444,thuan,0
45408,dgdquyen,0
24901,nguyen dac ngo,1
13335,nguyen ngoc thanh,1
6809,nguyen ngoc tai,1
5155,luu nguyen quoc thien,1
35388,ch dao van thien,0
33017,cong ty tnhh   tu van va xay dung bang phi,0
55742,quan ruou cao ky,0
9690,nguyen dinh thao,1
2048,pham minh do,1
14532,nguyen ngoc lan hop,1
48668,pkbui binh nguyen,0
8243,dang van tan,1
40254,dtb thanh,0
30287,cong ty tnhh tin hoc vinh tien,0
22465,nguyen tuan ngoc,1
14606,nguyen thanh son,1
17732,le quang duc,1
42882,chbao hien,0
32819,doanh nghiep tu nhan ban ha,0
31392,cn cty tnhh tm-dv tan vien tin,0
17515,le vo huu tai,1
25860,trung tam passion@net,0
31428,dntn hien duc,0
16903,nguyen echam samuel,1
12981,nguyen dinh le anh,1
55313,quan ruou phuong,0
54125,hoi dong huong ho quoc tai,0
42450,cafetrinh duc thien,0
14601,nguyen thanh tai,1
12811,tran van thanh,1
18098,huynh thanh long,1
51605,noi that khiem,0
1831,truong trong phuong,1
50858,cua hang tran cao nhan,0
5560,do minh thinh,1
41143,pk nguyen cat tien,0
32113,cong ty tnhh thuc pham va thuong mai chu viet hue,0
2553,vu hoang hai thong,1
2658,nguyen hai thanh,1
10352,dao van tho,1
27010,cong ty co phan hung nong,0
21737,anh nhast bang,1
7781,tran tat anh,1
15169,vo nguyen minh khiem,1
16224,chau viet thuan,1
3776,phan duc quyen,1
27831,dntn huu phu,0
34412,cong ty  co phan van tai xay dung va thuong mai nam phuong,0
5675,tran thi minh thien,1
18920,nguyen thi minh ngoc,1
5074,luu nguyen quoc sang,1
32658,cong ty tnhh gach tuynen phu vang,0
44411,thang,0
24435,nguyen thi hang,1
1158,nguyen ngoc an,1
10370,dao van thinh,1
44518,cbbao quyen,0
36762,cb nguyen buu chuong,0
9695,nguyen dinh thanh,1
6635,nguyen anh quy,1
11373,tran quang van thang,1
29312,ct tnhh thien phu,0
6577,huynh huu thanh,1
16768,pham vo hoai anh,1
30245,cong ty tnhh tm va dv quoc te thai  long,0
26867,dntn thuong mai viet phat,0
1288,bui duy an,1
3943,tran the suong,1
59409,quay thuoc an binh,0
7360,vu van thinh,1
35641,cn pham anh thu,0
48274,pkanh khoi,0
26868,dntn thuong mai thanh ngoc,0
35424,ch thong,0
28425,cong ty tnhh thuong mai - dich vu tien thanh,0
25936,dntn thuong mai va dich vu nhat my,0
8072,bui minh quoc,1
10483,nguyen van thong,1
40676,pk tan,0
27296,cong ty cp dich vu - dau gia ha tinh - chi nhanh ban dau gia tai san ha tinh,0
59828,quay thuoc bao tin,0
43393,cnson,0
13009,nguyen quoc quy,1
2114,vo thanh phuong,1
31167,cong ty tnhh thuong mai xuat nhap khau anh anh,0
36581,cb huynh bich thao,0
48495,pkvu thi hoai son,0
45960,dgdtrinh duc thien,0
19691,nguyen xuan tho,1
29432,htx co khi tu luc,0
48597,pkbach kim,0
37124,dgd son,0
48143,dtbpham cong thuong,0
41028,pk cao nhan,0
32260,chi nhanh cong ty trach nhiem huu han do dac va ban do vina sai gon tai tay ninh,0
392,nguyen echam phuong,1
41,nguyen thi nhu tai,1
39176,dl anh son,0
40922,thanh,0
13805,huynh tuan phuong,1
23416,nguyen duc tai,1
5549,do minh khiem,1
25287,truong trung hieu,1
34129,cty tnhh thuong mai san xuat ly tam hung,0
26134,cty tnhh thuong mai vinh hong huy,0
40317,dtb thong,0
7095,vu minh thanh,1
12201,pham thi thanh anh,1
16146,chau viet son,1
16139,chau viet son,1
38145,dgd le binh quan,0
8759,nguyen tien tai,1
50529,cua hang duong ba truc,0
33255,cty tnhh san xuat thuong mai va dich vu viet duy,0
54951,nha khoa lam binh dat,0
43905,thu,0
23803,huynh thanh nhan,1
36929,cb cat tien,0
30696,doanh nghiep tu nhan dong hai,0
45555,dgdson,0
39281,dl ba thinh,0
7914,nguyen chi duyen,1
18874,nguyen van tinh,1
38180,dgd cao buu toai,0
35583,cn an nhan,0
48610,pkbich nha,0
58777,ho kinh anh phuong,0
19671,nguyen vu son,1
28272,chi nhanh cong ty tnhh xay dung hung yen tai tan lac,0
34167,cong ty co phan doi tac xanh,0
50044,ho kinh doanh nguyen binh dinh,0
48015,dtbnguyen canh tuan,0
23736,lam minh bao,1
21279,tu phuoc tuyen,1
12353,nguyen cao samuel,1
55171,nha khoa thuan,0
51584,noi that thinh,0
44425,thanh,0
47646,dtbvu thi phuong,0
4050,vu hong son,1
58154,co so thu muatran bich chieu,0
52660,son,0
4515,nguyen ngoc truong,1
31135,cong ty co phan bien mau,0
37257,dgd tai,0
20569,nguyen ngoc soai,1
1461,tran minh tam,1
53939,hoi dong huong anh tu,0
8729,nguyen tien son,1
6372,huynh le tan phuong,1
14154,tran the duyen,1
57866,co so nguyen duc thong,0
42703,chnguyen binh yen,0
8627,lam van tam,1
45329,dgdtruong,0
43551,cndo bao bao,0
14182,pham tuan quoc,1
6283,ho quoc suong,1
28898,dntn nguyen anh,0
35902,cn than,0
49836,ho kinh doanh pham thanh quoc,0
59865,quay thuoc lam binh dat,0
12959,nguyen dinh le khiem,1
30743,phan thi thang (78k1842),0
3538,le anh si,1
8557,dinh xuan an,1
27791,cong ty trach nhiem huu han 30-4,0
6306,ho quoc thanh,1
3283,vu thi thai,1
59594,quay thuoc le anh son,0
39080,dl le an ninh,0
998,bui minh thu,1
35899,cn nguyen bao huynh,0
55455,quan ruou bach du,0
31881,cty tnhh tri thuc toan cau,0
50178,ho kinh doanh ho bao tran,0
17612,nguyen huu toan,1
36432,cb bich hanh,0
45506,dgdson,0
42345,cafevo duc thao,0
27348,dntn van tai hanh khach duong bo nhat quang,0
12467,nguyen cao an,1
54312,hoi dong huong nguyen buu chuong,0
46634,dtnguyen duc thong,0
30815,dntn nha hang loc loc phat,0
22153,tran trong thanh,1
53090,phong kham da khoa an khang,0
53067,phong kham chi bao,0
28857,cty tnhh iris,0
14523,nguyen ngoc lan thuy,1
25011,nguyen anh tuan,1
45305,dgdhuynh chan hung,0
15680,nguyen minh thinh,1
49908,tam,0
40777,pk bich thoa,0
33574,htx duc thang,0
50547,sa,0
30254,dntn ut an,0
48419,pktai,0
25518,huynh do minh tri,1
47002,thai,0
51696,dien thoai dinh an di,0
33474,hop tac xa nong nghiep tuoi sang,0
20442,ngo tuan anh,1
52372,dien thoai chi cong,0
16397,le dinh phuong,1
43986,cban hang,0
7515,le duy huy,1
26401,cty tnhh nam dong bac,0
25833,cong ty lien doanh san xuat cac san pham inox lieu ha,0
37785,son,0
40277,dtb buu diep,0
56227,tap hoa truong bao hoa,0
28270,dntn dac khang,0
51113,noi that vu ban mai,0
47672,dtbphan ba loc,0
40745,pk do minh tam,0
8477,dinh xuan son,1
12372,nguyen cao sang,1
1642,phan duy tho,1
31495,htx co khi chien thang,0
58162,co so thu muanguyen trung son,0
49186,dccdvvtldbao duy,0
37894,dgd duong bich lien,0
22003,tuong van vi,1
28978,cty tnhh mot thanh vien viet tinh,0
59861,quay thuoc thang,0
4081,vu hong tan,1
405,nguyen echam quan,1
58020,co so thu muanguyen an nam,0
59258,thien,0
47744,dtbluu nguyen quoc son,0
59935,quay thuoc luong buu diep,0
43635,cnvu bao lam,0
13191,le nguyen thuy thang,1
53125,phong kham da khoa an tam,0
55481,quan ruou tai,0
33949,cong ty tnhh 01 tv vuong gia phat,0
2484,vu hoang hai quan,1
22813,le tung nghia,1
49647,ho kinh doanh vo hoang phuong,0
12550,pham cong thao,1
53738,phong kham da khoa pham thi thanh thuy,0
23988,le thi mai,1
50319,cua hang ly an tam,0
58736,ho kinh le an ninh,0
55977,tap hoa truong phan anh hoang,0
26827,cty tnhh san xuat thuong mai che bien thuc pham an phat,0
53030,phong kham thu,0
10703,nguyen le truong suong,1
19583,nguyen tien dung,1
23356,vo ngoc minh quan,1
17297,nguyen le truc giang,1
9607,le tien an,1
50886,cua hang tran cao sy,0
44012,quan,0
47968,dtbbui trung thanh,0
12111,pham thi thanh son,1
8412,diep vuong thu,1
1568,phan duy son,1
40077,dtb duong bich thoa,0
44808,dgdnguyen anh thai,0
2300,nguyen minh sinh,1
24175,tran anh vinh,1
16037,pham hong tam,1
13988,ho ngoc the,1
27982,cong ty tnhh mot thanh vien thuong mai xuat nhap khau tien minh,0
26252,dntn tan phuoc loi,0
24788,tran trung tin,1
28340,cong ty trach nhiem huu han thuong mai va khai thac khoang san thanh thang loc,0
49220,tai,0
20447,le minh anh phuc,1
32694,doanh nghiep tu nhan thuong mai tan phat,0
4727,duong chi tam,1
57881,co so thong,0
33674,cong ty tnhh tom giong vinh hung,0
58709,ho kinh le an binh,0
44349,cbbao phap,0
52982,thien,0
3920,tran the son,1
8543,dinh xuan thuy,1
3869,phan duc thuan,1
46034,dgdcat cat,0
25868,chi nhanh cong ty tnhh nha nuoc mot thanh vien det viet thang tai can tho,0
12397,nguyen cao tam,1
24199,dinh bao duy,1
20389,tu phuong khoi,1
3018,nguyen trung si,1
28811,cty tnhh song giang,0
14611,nguyen thanh tan,1
11070,trinh duc son,1
30278,cong ty tnhh le quan tuoi,0
36730,cb thao,0
43564,cnbich quyen,0
49921,ho kinh doanh tai,0
26079,doanh nghiep tu nhan sang ha,0
2414,nguyen viet thi,1
41035,pk cao phong,0
17575,ngo van thi,1
30014,dntn bin,0
43300,cnly an nhien,0
25448,ly tieu bang,1
28241,cty tnhh thuong mai dich vu san xuat truong thanh,0
22746,nguyen kien,1
42790,thai,0
6010,vu thi hoai son,1
23750,le thi chau ngan,1
43286,cnnguyen an hang,0
21918,huynh hanh phuc,1
7335,vu van thanh,1
52953,phong kham thong,0
6092,vu thi hoai an,1
17132,truong thanh hoang,1
17876,nguyen thanh tuan,1
50275,cua hang an co,0
9761,nguyen cong phuong,1
39367,dl vu bao giang,0
16875,ho thanh huy,1
30605,cty tnhh qua thai binh duong,0
42520,cafenguyen cao truong,0
21436,nguyen hieu truong,1
50428,son,0
27754,doanh nghiep tu nhan thuong mai va dich vu cuong mo,0
10984,pham quang thang,1
25354,nguyen ngoc duy cuong,1
37818,dgd vu thi phuong,0
20680,nguyen thi thanh,1
31936,cong ty tnhh mot thanh vien tan thien thi,0
48548,pkbich van,0
3847,phan duc thanh,1
38713,dt bich ty,0
17364,ngo dao huy,1
8082,bui minh sang,1
24026,nguyen quang my,1
3416,nguyen van tam,1
30812,cty tnhh mot thanh vien thuong mai nha lam,0
29702,nguyen thi ngoc hong,0
31932,dntn huynh thu cuc,0
46923,dltran minh sang,0
45628,dgdbich nga,0
19855,han nguyen tuan,1
3643,vo tien samuel,1
23092,bui ngoc hoang,1
17951,pham quang dieu,1
21058,vo huu tai,1
13968,ho ngoc thanh,1
24293,tran van phat,1
11619,nguyen binh tai,1
50827,the,0
32492,to hop van tai thuy viet tien,0
17296,vo minh duy,1
24733,nguyen the bang,1
6485,huynh le tan chuc,1
1308,vo hoang son,1
47056,dlle cong tai,0
27769,doanh nghiep tn hanh phuoc,0
48952,dccdvvtldtran minh phuong,0
16589,tran hoang vinh thien,1
13984,ho ngoc thi,1
20522,le xuan ho,1
6949,doan thanh thang,1
54952,nha khoa lam bach tra,0
52511,phong kham nguyen viet son,0
35731,cn vo ba ky,0
6197,duong thanh thu,1
44178,cbvu hong tam,0
55029,nha khoa cao bao le,0
28288,cong ty tnhh tam tam tam,0
46912,dlanh thai,0
29474,dntn thuong mai - dich vu giang tan,0
36,nguyen thi nhu tam,1
9564,le tien thi,1
58999,tam,0
16614,tran hoang vinh thuan,1
15425,pham dinh thien,1
54255,hoi dong huong bach tuyet,0
47668,dtbsi,0
6875,nguyen ngoc chuc,1
56593,truong dai hoc an co,0
29612,cty tnhh quang cao truong thinh,0
50920,cua hang cam thao,0
33641,cty tnhh du lich bien viet,0
33519,doanh nghiep tu nhan quang chau,0
57060,truong dai hoc thanh,0
30147,doanh nghiep tu nhan phat trung,0
26295,cty co phan xay dung at&t,0
18135,nguyen tran kien,1
52140,thang,0
1587,phan duy son,1
20460,tuong long tuong,1
8676,lam van thuong,1
22630,le thi loan,1
45855,dgdvo duc thao,0
32491,to hop kinh doanh vat lieu xay dung tien manh,0
43581,cnvu thi hoai son,0
26861,dntn xay dung san xuat thuong mai dich vu sai gon,0
1880,truong trong thanh,1
12979,nguyen dinh le anh,1
53068,phong kham cat ly,0
18420,le huu thanh,1
53816,hoi dong huong nguyen an hang,0
48220,pkbui an thien,0
1588,phan duy si,1
28520,dntn quach toan,0
32923,dntn suong phat,0
10684,nguyen le truong quang,1
47244,dldam bach van,0
56868,truong dai hoc luu bach nhan,0
54538,nha khoa bui an thien,0
4312,le ha xuan sang,1
55110,nha khoa cao tien,0
609,nguyen xuan khiem,1
50717,cua hang bach loan,0
34360,cs tong hop an huy,0
16365,nguyen le phu chuc,1
45618,dgdtam,0
51099,noi that nguyen anh vu,0
32567,cua hang kinh doanh tong hop song cau,0
23768,tran minh nghia,1
27352,cty tnhh thuong mai dich vu san xuat tuu phat,0
23217,hoang viet cuong,1
49044,dccdvvtldquang,0
4305,le ha xuan quan,1
18309,vo van phuc,1
10717,nguyen le truong thang,1
56393,tap hoa truong thanh,0
9833,nguyen cong thong,1
43073,chnguyen binh yen,0
46782,dldinh an di,0
56282,thanh,0
48545,pktan,0
57036,truong dai hoc dang bich nha,0
22197,nguyen the thoi,1
20195,vo nuong khoa,1
5115,luu nguyen quoc tai,1
51318,noi that tai,0
17018,pham dinh an,1
17443,nguyen ngoc nam,1
32825,cua hang kinh doanh tong hop son hoa,0
12109,pham thi thanh son,1
12120,pham thi thanh son,1
44088,cbson,0
27816,dntn phuc tai,0
20192,huynh vu truong,1
6673,nguyen anh suong,1
54956,nha khoa binh dinh,0
21023,ho si quy,1
25304,dang phan xuan hoang,1
40968,pk nguyen bao ha,0
32251,dntn phuong hong thao,0
24542,tran minh thien,1
40070,dtb vu bich san,0
54973,nha khoa nguyen bach yen,0
24478,nguyen son tung,1
12270,nguyen hong tam,1
16550,tran hoang vinh sang,1
43263,cnan binh,0
27733,cty tnhh mot thanh vien thuong mai dich vu xnk nhan tri,0
34083,chi nhanh doanh nghiep tu nhan ngoc bi,0
44385,cbbach kim,0
48716,pkbao ngoc,0
11396,tran quang van thinh,1
2382,nguyen viet tam,1
38307,dgd nguyen chieu duong,0
53157,phong kham da khoa vo hoang phuong,0
34906,ch phuong,0
39559,dl thanh,0
58158,co so thu muaanh tuan,0
12186,pham thi thanh thuong,1
16579,tran hoang vinh thanh,1
12920,nguyen dinh le tam,1
19772,nguyen thuy dung,1
1690,nguyen vu ngoc quynh,1
57524,co so tan,0
48176,pkan khang,0
44454,cbbinh nguyen,0
58672,co so thu muapham cat cat,0
26469,cong ty tnhh cuu chien binh 6/12 nguyen nghiem,0
35579,cn ly quoc quyen,0
50822,cua hang bao ngoc,0
21134,nguyen dinh hoang thanh,1
18901,le quang luc,1
38502,dt anh tuan,0
11525,nguyen ngoc hoai thien,1
21790,hoang ngoc dinh,1
40813,pk nguyen bao huynh,0
31561,dntn duc tung,0
54108,hoi dong huong bich san,0
10686,nguyen le truong son,1
30032,cua hang phan chu trinh so 5,0
4556,bui anh quyen,1
28333,cty tnhh thuong mai bac nam,0
25496,tran thanh toan,1
46514,dtdiep bach mai,0
20607,bui dinh phong,1
13930,ho ngoc son,1
25271,le trong hien,1
32191,cty tnhh nguyen nam tien,0
31695,dntn tung sinh 2,0
7728,tran tat thanh,1
34226,pk khanh tam,0
49109,dccdvvtldba thinh,0
6131,duong thanh son,1
45846,dgdnguyen binh hoa,0
16070,pham hong thinh,1
40890,pk dang bich nha,0
5999,vu thi hoai son,1
38455,dt vo anh minh,0
43984,samuel,0
18232,le dang quang,1
43696,cnbich nha,0
58955,ho kinh duong chi tam,0
16490,le dinh anh,1
7034,vu minh quan,1
29571,dntn thinh giau,0
46962,dlbich hanh,0
17527,le huu duy,1
3307,vu thi thang,1
45597,dgdthai,0
24591,tu van thuan,1
15038,nguyen cong thu,1
28641,cty tnhh tan son hoa cuong,0
16747,pham vo hoai an,1
16301,nguyen le phu tan,1
29791,dntn thuong mai dich vu vien thong phan anh,0
18574,tran bauo saet,1
31413,cty tnhh duoc pham tam- anh,0
28795,cong ty tnhh mot thanh vien kim hong,0
24095,le nhat khanh,1
7415,le duy quy,1
1228,bui duy thanh,1
14271,pham tuan an,1
7491,le duy thong,1
31354,cong ty tnhh san xuat - thuong mai phat hung thinh,0
55441,quan ruou ba truc,0
32082,cty tnhh tan vu,0
2133,vo thanh tan,1
7478,le duy thien,1
15891,nguyen huy tam,1
42771,chbich hau,0
50599,cua hang vu bao giang,0
49309,dccdvvtldbui minh thao,0
49578,ho kinh doanh quynh,0
33074,chi nhanh cong ty thuoc la da nang tai quang nam,0
44052,cbnguyen vu ngoc quyen,0
31447,cong ty tnhh nam hong,0
46613,dtnguyen huu the,0
15643,nguyen minh suong,1
24998,nguyen thanh tu,1
11033,pham quang thuc,1
23618,khuu du thinh,1
14007,ho ngoc thuan,1
14266,pham tuan thuong,1
14794,vu minh thuan,1
13572,nguyen hoa than,1
2447,nguyen viet an,1
25114,tran nguyen thao linh,1
30357,cong ty tnhh cong nghe tin hoc dai nam,0
54350,hoi dong huong thinh,0
7750,tran tat thinh,1
16147,chau viet son,1
16694,pham vo hoai thai,1
45232,thong,0
48511,tai,0
41845,dccdvvtld nguyen cat tien,0
12712,phan khanh hop,1
4224,nguyen minh thang,1
19560,nguyen thanh tuyen,1
37588,dgd chan hung,0
58117,co so thu muaanh vu,0
52004,dien thoai vu bich san,0
52710,phong kham bao hien,0
18333,ho nhat quang,1
48559,pkthanh,0
5314,ngo vu duyen,1
9586,le tien thuong,1
38066,dgd bao tin,0
16851,ho thanh thong,1
22817,tran tri nhan,1
22544,tran anh thong,1
58419,co so thu muanguyen bao thai,0
20524,tran tuan minh,1
40896,pk bach mai,0
8646,lam van thanh,1
20870,duong nhat thoi,1
47,nguyen thi nhu tam,1
33006,chi nhanh doanh nghiep tu nhan phu lam tai hue,0
14373,nguyen khac bao thanh,1
45035,dgdtan,0
26110,chi nhanh cong ty tnhh phu son tai quang nam,0
5180,luu nguyen quoc anh,1
2316,nguyen minh anh,1
42159,cafebao dinh,0
39916,dtb le bich duyen,0
2016,pham minh thanh,1
14263,pham tuan thuy,1
48579,pkho nguyen xuan thanh,0
56419,tap hoa truong nguyen bao han,0
35798,quoc,0
41771,thu,0
56265,tap hoa truong doan bich ty,0
44104,cbanh thai,0
7479,le duy thanh,1
13495,nguyen vuo lam huy,1
12814,tran van thi,1
23996,hua nguyen khai minh,1
14961,nguyen cong phuong,1
5765,tran van tai,1
5970,le van an,1
30971,cong ty tnhh xay dung va thuong mai hoa mai,0
46478,dttran bao thach,0
23102,phan minh hoang,1
59887,quay thuoc nguyen bach yen,0
37829,dgd bich ha,0
58910,ho kinh bich hao,0
14110,tran the thao,1
16122,chau viet phuong,1
34839,ch an binh,0
50254,ho kinh doanh phan chi anh,0
47174,dlho bang tam,0
13925,ho ngoc quan,1
26928,chi nhanh cong ty co phan duoc hau giang tai tinh phu tho,0
16124,chau viet sang,1
53688,phong kham da khoa ho bao tran,0
29804,cty tnhh may mac hieu giang,0
45095,dgdbui bao toan,0
54767,nha khoa bang son,0
52805,phong kham nguyen chi thanh,0
40807,pk nguyen bich trang,0
28510,doanh nghiep tn hoai bao,0
2625,nguyen hai phuong,1
1517,tran minh thu,1
32101,dntn thanh phuong,0
37468,thanh,0
8476,dinh xuan son,1
23995,vo si men,1
47867,dtbbang bang,0
15878,nguyen huy son,1
25958,doanh nghiep tu nhan huu trang,0
10861,tran minh thanh,1
334,dinh van thi,1
2027,pham minh thanh,1
12408,nguyen cao thanh,1
50744,cua hang binh dinh,0
54496,nha khoa le an khang,0
9503,le tien quyen,1
16847,ho thanh thanh,1
18005,nguyen tran le,1
27273,doanh nghiep tu nhan thanh tu,0
52523,phong kham nguyen anh tai,0
46897,son,0
59401,quay thuoc an co,0
28462,cong ty co phan da ca sa,0
33812,cty tnhh mot thanh vien mot sao,0
26550,cty tnhh  duc phu,0
43159,chho quang thinh,0
37554,dgd bao uyen,0
37482,thanh,0
10074,cao ba thang,1
750,le phu thinh,1
56185,tap hoa truong bao bao,0
55646,quan ruou dinh binh dan,0
58435,co so thu muabui minh thao,0
44368,cbthanh,0
26209,cty tnhh mtv hung minh duc,0
39676,dl huynh bao van,0
24096,do quang khanh,1
18104,mai tan thuyen,1
35920,cn dang bao long,0
28292,cty tnhh tu van dau tu luat thien phuoc,0
52566,phong kham nguyen bich hue,0
14126,tran the thinh,1
21507,nguyen thi kim thoa,1
46563,dtbui bao binh,0
35734,cn si,0
37806,son,0
41296,dccdvvtld anh thai,0
8538,dinh xuan thu,1
49362,dccdvvtldbao anh,0
48411,pknguyen ngoc phuong,0
2227,nguyen minh phuong,1
54396,hoi dong huong tran cao sy,0
28144,cty tnhh mtv yen tay thi,0
46097,sang,0
32209,cty tnhh thuong mai - dich vu dai gia phat,0
44919,dgdbich loan,0
21767,pham anh dai,1
14638,nguyen thanh the,1
55594,thang,0
824,ly quoc tai,1
9661,nguyen dinh tai,1
16643,pham vo hoai samuel,1
56523,tap hoa truong huynh cat tuong,0
47625,dtbtran minh sang,0
5297,ngo vu thuan,1
25201,tang tuong dat,1
43315,cnnguyen ngoc son,0
57669,co so doan bich ty,0
20828,nguyen duy phuong,1
29985,cty tnhh thuong mai dich vu va in an quang cao ne mo,0
11976,huynh tran sanh,1
4009,tran the anh,1
54069,hoi dong huong ngo vu sang,0
55723,quan ruou luong buu diep,0
4218,nguyen minh thanh,1
41482,dccdvvtld duong thanh tam,0
24395,tran dai dung,1
46401,dtho bao hoa,0
9126,vo duc son,1
9521,le tien tam,1
46519,dtbach quynh,0
31254,cong ty tnhh trung vinh,0
30060,doanh nghiep tu nhan ly hung,0
23763,vo minh ngoc,1
46171,dtpham anh thu,0
46916,dlnguyen vu truong son,0
54000,hoi dong huong son,0
11889,le ngoc thang,1
59849,quay thuoc binh an,0
27134,xuong san xuat cong ty co phan thiet bi giao duc huong thanh,0
35195,ch bao huynh,0
2797,nguyen vu truong thanh,1
53524,phong kham da khoa bich nha,0
20676,vo thang,1
20848,nguyen chi thanh,1
48198,pkan hang,0
13364,nguyen ngoc thuan,1
45730,dgdthan,0
35287,ch bach quynh,0
5514,do minh thai,1
2254,nguyen minh tai,1
41629,dccdvvtld dam van thien,0
44547,cbpham cao phong,0
54127,tai,0
48265,pkquyen,0
44167,cbba long,0
2746,nguyen vu truong sanh,1
749,le phu thuan,1
33104,cty tnhh truyen thong sang tao oxy,0
587,nguyen xuan thanh,1
30089,cong ty cp thuong mai 168,0
26197,cong ty tnhh mtv nang moi bien hoa,0
58664,co so thu muanguyen chanh viet,0
52961,tho,0
56989,truong dai hoc vu van thanh,0
34386,dl thuong mai va dich vu an loc phat,0
33831,hkd nguyen thi ha,0
35,nguyen thi nhu tai,1
4951,le truong phuong,1
11186,ho quang quyen,1
10697,nguyen le truong quoc,1
52526,phong kham son,0
56567,tap hoa truong pham cong thuong,0
46334,dtsa,0
27254,cty tnhh mot thanh vien tau khach va du lich vinashin-can tho,0
10100,cao ba sinh,1
47032,dlbich nga,0
5575,do minh chuc,1
40359,dtb thu,0
11413,tran quang van hoang,1
10468,nguyen van thien,1
58698,keu,0
59365,ho kinh chieu duong,0
4294,le ha xuan sang,1
52503,phong kham nguyen anh vu,0
39357,tai,0
8044,phan xuan duyen,1
54712,nha khoa bich hang,0
32109,chi nhanh cty tnhh may va thiet ke thoi trang nha uyen tai tp can tho,0
8946,dam van anh,1
23766,luong si ngoc,1
36081,cn nguyen canh tuan,0
41110,pk thong,0
53346,phong kham da khoa pham thanh quoc,0
2192,vo thanh an,1
2949,tran minh khiem,1
1570,phan duy phuong,1
2487,vu hoang hai phuong,1
46274,dtbich hao,0
10579,nguyen duc tai,1
11329,tran quang van son,1
21589,nguyen duy khuong,1
24041,lam tuan huy,1
10636,nguyen duc anh,1
27508,cong ty tnhh sao bac viet,0
27902,htx xay dung dan dung cn va san xuat khai thac  vat lieu xd,0
50878,cua hang bao tran,0
52994,phong kham tran quang van thu,0
35383,the,0
8466,dinh xuan sanh,1
43453,cnvo ba ky,0
39532,thanh,0
2892,tran minh tan,1
28771,trung tam thuong mai - dich vu an thinh phat,0
45581,dgdvu bich hau,0
713,le phu thang,1
36954,dgd dinh an di,0
59070,ho kinh bao khanh,0
50029,ho kinh doanh bach quynh,0
860,ly quoc thinh,1
46064,dtphuong chi,0
43246,chchi cong,0
641,nguyen xuan anh,1
17081,pham khac diep,1
22476,cao pham thanh phong,1
30381,cty tnhh co khi xay dung thuong mai thai phuong,0
7923,nguyen chi anh,1
36848,cb tran quang van thu,0
26959,cty tnhh dich vu tu van my khang,0
14720,vu minh son,1
5888,le van sa,1
48073,dtbho quang thinh,0
41199,dccdvvtld an nhan,0
50803,cua hang nguyen bao han,0
38659,dt le bich quan,0
49842,ho kinh doanh le bich nga,0
31067,cong ty tnhh mot thanh vien du lich va tiep thi giao thong van tai viet nam vietravel chi nhanh binh,0
12455,nguyen cao huy,1
2744,nguyen vu truong quan,1
56638,truong dai hoc ly an nhien,0
16689,pham vo hoai tai,1
32932,cong ty tnhh 01 tv  thuong mai dich vu thep la kim toan,0
